AREA,SITE_ID,SITE_NAME,SURVEY_ID,EVENT_DATE,EVENT_DATE_YEAR,SAMPLE_CODE,SURVEY_RANKED_NGR,SURVEY_RANKED_EASTING,SURVEY_RANKED_NORTHING,SURVEY_LENGTH,SURVEY_WIDTH,SURVEY_AREA,FISHED_WIDTH,FISHED_AREA,SURVEY_METHOD,SURVEY_STRATEGY,NO_OF_RUNS,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_NAME,LATIN_NAME,RUN1,RUN2,RUN3,RUN4,RUN5,RUN6,ALL_RUNS,SPCSNO,SPCSNO_SE,SPCSPV,SPCSPV_SE,OBSERVED_ABUNDANCE,ZERO_CATCH,SURVEY_STATUS,IS_THIRD_PARTY,IS_SPECIES_SELECTIVE,SURVEY_INSERT_DATE
Plym,7175,Ham,151203,25/07/2017,2017,,SX5315062590,253150,62590,53.9,9.64,519.596,9.64,519.596,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,666990,283,Bullhead,Cottus gobio,35,,,,,,35,,,,,,No,Completed,No,No,14/08/2017
Plym,7175,Ham,151203,25/07/2017,2017,,SX5315062590,253150,62590,53.9,9.64,519.596,9.64,519.596,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,666991,242,European eels > elvers,Anguilla anguilla,6,,,,,,6,,,,,,No,Completed,No,No,14/08/2017
Plym,7175,Ham,151203,25/07/2017,2017,,SX5315062590,253150,62590,53.9,9.64,519.596,9.64,519.596,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,666995,243,European elvers,Anguilla anguilla,1,,,,,,1,,,,,,No,Completed,No,No,14/08/2017
Plym,7175,Ham,155401,01/08/2019,2019,,SX5315062590,253150,62590,50.1,8.07,404.307,8.07,404.307,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,694918,118,Atlantic salmon,Salmo salar,25,,,,,,25,,,,,,No,Completed,No,No,23/09/2019
Plym,7175,Ham,155401,01/08/2019,2019,,SX5315062590,253150,62590,50.1,8.07,404.307,8.07,404.307,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,694919,111,Brown / sea trout,Salmo trutta,27,,,,,,27,,,,,,No,Completed,No,No,23/09/2019
Plym,7175,Ham,155401,01/08/2019,2019,,SX5315062590,253150,62590,50.1,8.07,404.307,8.07,404.307,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,694920,283,Bullhead,Cottus gobio,32,,,,,,32,,,,,,No,Completed,No,No,23/09/2019
Plym,7175,Ham,155401,01/08/2019,2019,,SX5315062590,253150,62590,50.1,8.07,404.307,8.07,404.307,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,694921,242,European eels > elvers,Anguilla anguilla,6,,,,,,6,,,,,,No,Completed,No,No,23/09/2019
Plym,7175,Ham,162821,13/07/2023,2023,,SX5312062630,253120,62630,45.7,8.67,396.219,8.67,396.219,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,727887,118,Atlantic salmon,Salmo salar,14,,,,,,14,,,,,,No,Completed,No,No,01/08/2023
Plym,7175,Ham,162821,13/07/2023,2023,,SX5312062630,253120,62630,45.7,8.67,396.219,8.67,396.219,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,727888,111,Brown / sea trout,Salmo trutta,15,,,,,,15,,,,,,No,Completed,No,No,01/08/2023
Plym,7175,Ham,162821,13/07/2023,2023,,SX5312062630,253120,62630,45.7,8.67,396.219,8.67,396.219,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,727889,283,Bullhead,Cottus gobio,10,,,,,,10,,,,,,No,Completed,No,No,01/08/2023
Plym,7175,Ham,162821,13/07/2023,2023,,SX5312062630,253120,62630,45.7,8.67,396.219,8.67,396.219,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,727890,242,European eels > elvers,Anguilla anguilla,3,,,,,,3,,,,,,No,Completed,No,No,01/08/2023
Plym,7176,u/s Cadover,154865,19/06/2019,2019,,SX5628064440,256280,64440,67,9.15,613.05,9.15,613.05,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,691092,118,Atlantic salmon,Salmo salar,32,,,,,,32,,,,,,No,Completed,No,No,22/07/2019
Plym,7176,u/s Cadover,154865,19/06/2019,2019,,SX5628064440,256280,64440,67,9.15,613.05,9.15,613.05,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,691093,111,Brown / sea trout,Salmo trutta,94,,,,,,94,,,,,,No,Completed,No,No,22/07/2019
Plym,7176,u/s Cadover,154865,19/06/2019,2019,,SX5628064440,256280,64440,67,9.15,613.05,9.15,613.05,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,691094,242,European eels > elvers,Anguilla anguilla,4,,,,,,4,,,,,,No,Completed,No,No,22/07/2019
Plym,7177,Brisworthy,155122,02/07/2019,2019,,SX5666265140,256662,65140,56,7.74,433.44,7.74,433.44,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,693036,118,Atlantic salmon,Salmo salar,1,,,,,,1,,,,,,No,Completed,No,No,15/08/2019
Plym,7177,Brisworthy,155122,02/07/2019,2019,,SX5666265140,256662,65140,56,7.74,433.44,7.74,433.44,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,693037,111,Brown / sea trout,Salmo trutta,53,,,,,,53,,,,,,No,Completed,No,No,15/08/2019
Plym,7177,Brisworthy,155122,02/07/2019,2019,,SX5666265140,256662,65140,56,7.74,433.44,7.74,433.44,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,693038,242,European eels > elvers,Anguilla anguilla,5,,,,,,5,,,,,,No,Completed,No,No,15/08/2019
Plym,7303,Yeo Farm,148150,02/06/2016,2016,,SX5499367021,254993,67021,54,5.52,298.08,5.52,298.08,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,646769,118,Atlantic salmon,Salmo salar,4,,,,,,4,,,,,,No,Completed,No,No,07/06/2016
Plym,7303,Yeo Farm,148150,02/06/2016,2016,,SX5499367021,254993,67021,54,5.52,298.08,5.52,298.08,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,646770,111,Brown / sea trout,Salmo trutta,64,,,,,,64,,,,,,No,Completed,No,No,07/06/2016
Plym,7303,Yeo Farm,148150,02/06/2016,2016,,SX5499367021,254993,67021,54,5.52,298.08,5.52,298.08,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,646771,242,European eels > elvers,Anguilla anguilla,4,,,,,,4,,,,,,No,Completed,No,No,07/06/2016
Plym,7303,Yeo Farm,153050,07/06/2018,2018,,SX5498267024,254982,67024,51.5,5.93,305.395,5.93,305.395,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,678694,118,Atlantic salmon,Salmo salar,1,,,,,,1,,,,,,No,Completed,No,No,16/08/2018
